Datum;1.Hoe vaak gebruikt u internet per dag?;2.Maakt u zich zorgen over je privacy terwijl u met het internet verbonden bent.;3.Indien u zich zorgen maakt over u privacy, geef het een cijfer van 1-10;4.Indien je een account hebt op Google/Facebook/Youtube/Twitter, heb je het privacybeleid van deze sites gelezen voor je een account aanmaakte?;5.Indien u Facebook hebt, weet u wat Facebook over je verzamelt van gegevens en wat ze hiermee doen?;6.Indien u Youtube hebt, weet u wat Youtube over je verzamelt van gegevens en wat ze hiermee doen?;7.Indien u Google hebt, weet u wat Google over je verzamelt van gegevens en wat ze hiermee doen?;8.Indien u Twitter hebt, weet u wat Twitter over je verzamelt van gegevens en wat ze hiermee doen?;"9.Kent u de service &quot;Google Analytics&quot; die Google aanbiedt?";10.Welke informatie denk u dat u vrijgeeft tijdens het surfen?;11.Weet u wat een cookie is?;12.Verwijdert u regelmatig uw cookies?;13.Weet u wat cachegeheugen is?;14.Verwijdert u regelmatig uw cachegeheugen van de browser?;15.Weet u wat een MAC-adres is?;16.Weet u wat een IP-adres is?;17.Via welke brower surft u het meeste?;"18.Surft u vaak op publieke onbeveiligde netwerken (Wi-Fi), zoals bijvoorbeeld in een caf&eacute; of gewoon op straat?";19.Gebruikt u een VPN tijdens het surfen?;20.Gebruikt u bepaalde manieren om anoniemer te zijn tijdens het surfen?
24/3/2017 om 10u 45m 59s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Ja; Ja; Nee; Nee; Nee;Zoekresultaten, e-mail adres, namen, vrienden, geslacht,...; Nee; Geen idee; Nee; Geen idee; Nee; Ja; Safari; Ja; Nee;Neen
24/3/2017 om 10u 50m 47s; 4-8 uur per dag; Ja;7; Nee; Nee; Nee; Nee; Nee; Ja;ALLES GRTZ PEDRO; Ja; Elke week; Ja; Elke week; Ja; Ja; Google Chrome; Ja; Nee;INCOGNITOBROWSER VOOR PORNO GRTZ PEDRO
24/3/2017 om 10u 54m 39s; 1-2 uur per dag; Ja;7; Nee; Nee; Nee; Nee; Nee; Nee;0; Ja; Elke maand; Ja; Elke maand; Nee; Ja; Google Chrome; Nee; Geen idee wat het is;niet echt
24/3/2017 om 11u 33m 29s; 4-8 uur per dag; Ja;7; Nee; Ja; Ja; Ja; ; Nee;Veel meer dan we kunnen bedenken. Interacties met mensen, producten, interesses, netwerken, zoekopdrachten, interacties met websites e.d. Wordt gebruikt om profielen van ons op te stellen en modellen om ons op maat gemaakte advertenties te kunnen aanbieden en allerhande andere dingen.; Ja; Geen idee; Ja; Geen idee; Ja; Ja; Google Chrome; Nee; Nee;"Niets publiek delen. En voor de rest zien welke informatie je aan welke websites geeft. Goede ""internet hygiëne"" doet al veel."
24/3/2017 om 11u 45m 34s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Ja;Surfgedrag, persoonlijke gegevens, ...; Ja; Geen idee; Ja; Elke week; Ja; Ja; Safari; Ja; Nee;Proxy
24/3/2017 om 11u 58m 07s; 4-8 uur per dag; Ja;8; Nee; Ja; Ja; Ja; Ja; Ja;0; Ja; Geen idee; Ja; Geen idee; Ja; Ja; Safari; Nee; Nee;Nee
24/3/2017 om 12u 00m 20s; 2-4 uur per dag; Ja;6; Nee; Ja; Nee; Nee; Nee; Nee;Locatie, interesse, hobby's ; Ja; Geen idee; Ja; Geen idee; Nee; Ja; Google Chrome; Nee; Nee;Neen
24/3/2017 om 12u 32m 38s; 2-4 uur per dag; Ja;4; Ja; Ja; Ja; Nee; ; Nee;Zoekopdrachten, algemene gegevens, foto's...; Ja; Geen idee; Nee; Geen idee; Nee; Ja; Mozilla Firefox; Nee; Ja;VPN soms
24/3/2017 om 13u 10m 09s; 1-2 uur per dag; Ja;8; Ja; Ja; Ja; Ja; ; Nee;Ik denk bijna alles; Ja; Elke dag; Ja; Elke dag; Ja; Ja; Google Chrome; Nee; Geen idee wat het is;Neen
24/3/2017 om 13u 15m 41s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Ja; Nee; Nee; Nee; Ja;Leeftijd, woonplaats, vrienden, foto's, welke sites ik bezocht heb, wat ik heb geliked op Facebook, welke advertenties ik heb aangeklikt..; Ja; Elke maand; Nee; Geen idee; Ja; Ja; Google Chrome; Ja; Ja;nee
